"","Pair","kappa","zeta","theta","phi"
"1","intqtrIN1825+",1,1.02,1.1,0.84
"2","intsecIN1825+",1,1.05,1.11,0.87
"3","intqtrIN1825+",1,1.02,1.1,0.84
"4","extqtrIN1825+",2,0.99,0.87,0.83
"5","intqtrIN< 1825",1,1.01,1.11,0.81
"6","extqtrIN1825+",2,0.99,0.87,0.83
"7","intqtrIN1825+",1,1.02,1.1,0.84
"8","intqtrIN1825+",1,1.02,1.1,0.84
"9","extqtrIN1825+",2,0.99,0.87,0.83
"10","extqtrIN1825+",2,0.99,0.87,0.83
"11","intqtrIN1825+",1,1.02,1.1,0.84
"12","intqtrIN1825+",1,1.02,1.1,0.84
"13","intqtrIN1825+",1,1.02,1.1,0.84
"14","intqtrIN1825+",1,1.02,1.1,0.84
"15","intsecIN1825+",1,1.05,1.11,0.87
"16","intqtrIN1825+",1,1.02,1.1,0.84
"17","intsecIN1825+",1,1.05,1.11,0.87
"18","extsecIN1825+",2,1.05,0.91,0.86
"19","extsecIN1825+",2,1.05,0.91,0.86
"20","extqtrIN1825+",2,0.99,0.87,0.83
"21","intqtrIN1825+",1,1.02,1.1,0.84
"22","intsecIN1825+",1,1.05,1.11,0.87
"23","intqtrIN1825+",1,1.02,1.1,0.84
"24","intqtrIN1825+",1,1.02,1.1,0.84
"25","intqtrIN1825+",1,1.02,1.1,0.84
"26","intqtrIN1825+",1,1.02,1.1,0.84
"27","intqtrIN1825+",1,1.02,1.1,0.84
"28","intqtrIN1825+",1,1.02,1.1,0.84
"29","intqtrIN1825+",1,1.02,1.1,0.84
"30","intsecIN1825+",1,1.05,1.11,0.87
"31","intsecIN1825+",1,1.05,1.11,0.87
"32","intqtrIN1825+",1,1.02,1.1,0.84
"33","intsecIN1825+",1,1.05,1.11,0.87
"34","intqtrIN1825+",1,1.02,1.1,0.84
"35","intqtrIN1825+",1,1.02,1.1,0.84
"36","extsecIN1825+",2,1.05,0.91,0.86
"37","extqtrIN1825+",2,0.99,0.87,0.83
"38","intsecIN1825+",1,1.05,1.11,0.87
"39","extsecIN1825+",2,1.05,0.91,0.86
"40","intqtrIN1825+",1,1.02,1.1,0.84
"41","intqtrIN1825+",1,1.02,1.1,0.84
"42","intqtrIN1825+",1,1.02,1.1,0.84
"43","intqtrIN1825+",1,1.02,1.1,0.84
"44","intqtrIN1825+",1,1.02,1.1,0.84
"45","intqtrIN1825+",1,1.02,1.1,0.84
"46","intqtrIN1825+",1,1.02,1.1,0.84
"47","intqtrIN1825+",1,1.02,1.1,0.84
"48","extsecIN1825+",2,1.05,0.91,0.86
"49","intqtrIN1825+",1,1.02,1.1,0.84
"50","intqtrIN< 1825",1,1.01,1.11,0.81
"51","intqtrIN1825+",1,1.02,1.1,0.84
"52","intsecIN1825+",1,1.05,1.11,0.87
"53","intqtrIN1825+",1,1.02,1.1,0.84
"54","intqtrIN1825+",1,1.02,1.1,0.84
"55","intqtrIN1825+",1,1.02,1.1,0.84
"56","extsecIN1825+",2,1.05,0.91,0.86
"57","extqtrIN1825+",2,0.99,0.87,0.83
"58","extsecIN1825+",2,1.05,0.91,0.86
"59","intsecIN1825+",1,1.05,1.11,0.87
"60","intsecIN1825+",1,1.05,1.11,0.87
"61","intsecIN1825+",1,1.05,1.11,0.87
"62","extqtrIN1825+",2,0.99,0.87,0.83
"63","extsecIN1825+",2,1.05,0.91,0.86
"64","extqtrIN1825+",2,0.99,0.87,0.83
"65","intqtrIN1825+",1,1.02,1.1,0.84
"66","intqtrIN1825+",1,1.02,1.1,0.84
"67","intqtrIN1825+",1,1.02,1.1,0.84
"68","intqtrIN1825+",1,1.02,1.1,0.84
"69","intqtrIN1825+",1,1.02,1.1,0.84
"70","intqtrIN1825+",1,1.02,1.1,0.84
"71","intsecIN1825+",1,1.05,1.11,0.87
"72","intsecIN1825+",1,1.05,1.11,0.87
"73","intqtrIN1825+",1,1.02,1.1,0.84
"74","intqtrIN1825+",1,1.02,1.1,0.84
"75","intsecIN1825+",1,1.05,1.11,0.87
"76","intqtrIN1825+",1,1.02,1.1,0.84
"77","intqtrIN1825+",1,1.02,1.1,0.84
"78","intqtrIN1825+",1,1.02,1.1,0.84
