"","x","y","cell","Alder","Ash","Bald cypress","Basswood","Beech","Birch","Black gum","Black gum/sweet gum","Buckeye","Cherry","Chestnut","Dogwood","Elm","Hackberry","Hickory","Ironwood","Locust","Maple","Mulberry","No tree","Oak","Other hardwood","Poplar","Poplar/tulip poplar","Sweet gum","Sycamore","Tamarack","Tulip poplar","Unknown tree","Walnut","Willow"
"1",309000,406000,40304,0,4,0,3,1,1,0,0,0,4,0,0,14,0,29,0,0,2,0,39,96,0,0,0,0,0,0,0,0,2,0
"2",309000,430000,39416,0,1,0,6,0,1,0,0,1,2,0,0,17,5,25,0,2,6,0,45,85,0,1,0,0,1,0,0,0,5,0
"3",317000,382000,41193,0,6,0,2,0,2,0,0,2,0,0,0,15,5,8,0,0,10,1,104,34,0,0,0,0,4,0,0,1,2,2
"4",341000,398000,40604,0,1,0,3,0,0,0,0,0,0,0,0,11,0,30,1,0,3,0,4,145,2,3,0,0,4,0,0,1,0,0
"5",341000,430000,39420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,158,38,0,0,0,0,0,0,0,0,0,0
"6",349000,374000,41493,0,0,0,0,0,1,0,0,0,0,0,0,1,0,41,0,1,0,0,50,79,0,0,0,0,0,0,0,1,0,0
"7",357000,350000,42382,0,2,0,0,0,0,0,0,0,0,0,0,5,0,12,0,0,0,0,35,120,0,0,0,0,0,0,0,1,2,0
"8",357000,398000,40606,0,0,0,0,0,0,0,0,1,0,0,0,8,1,24,1,0,3,0,11,151,2,0,0,0,0,0,0,0,1,0
"9",357000,454000,38534,0,0,0,2,0,0,0,0,2,0,0,0,3,1,18,0,1,3,0,70,95,0,0,0,0,0,0,0,0,1,0
"10",357000,478000,37646,0,2,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,3,2,138,29,0,0,0,0,0,0,0,0,2,0
"11",357000,494000,37054,0,0,0,1,0,0,0,0,1,2,0,0,2,1,9,0,0,1,0,171,17,0,0,0,0,0,0,0,0,0,0
"12",357000,518000,36166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
"13",365000,430000,39423,0,0,0,7,0,1,0,0,0,1,0,0,8,5,24,0,0,6,0,22,112,0,0,0,0,3,0,0,0,3,0
"14",365000,550000,34983,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,184,21,0,0,0,0,0,0,0,0,0,1
"15",373000,446000,38832,0,0,0,2,0,0,0,0,0,1,0,0,3,0,12,0,2,1,0,138,55,0,0,0,0,0,0,0,0,4,0
"16",373000,486000,37352,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,162,15,0,0,0,0,0,0,0,0,0,0
"17",373000,518000,36168,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,1,1,0,177,17,0,0,0,0,0,0,0,0,0,0
"18",373000,526000,35872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0
"19",381000,350000,42385,0,1,0,0,0,0,0,0,0,0,0,0,5,1,45,0,0,0,0,78,62,1,0,0,0,0,0,0,0,1,0
"20",381000,374000,41497,0,3,0,1,0,0,0,0,0,3,0,0,23,6,16,0,3,0,1,60,74,2,0,0,0,0,0,0,0,4,0
"21",381000,462000,38241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,4,0,0,0,0,0,0,0,0,0,0
"22",381000,542000,35281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,117,48,0,0,0,0,0,0,0,2,0,0
"23",389000,390000,40906,0,0,0,3,0,0,0,0,0,1,0,0,4,0,19,0,0,0,0,82,80,1,0,0,0,0,0,0,0,2,0
"24",389000,430000,39426,0,0,0,5,0,0,0,0,0,0,0,0,8,1,20,3,0,5,1,1,161,1,0,0,0,0,0,0,0,3,0
"25",397000,334000,42979,0,1,0,1,0,0,0,0,0,1,0,0,3,0,35,0,0,0,0,76,71,0,1,0,0,0,0,0,0,5,0
"26",397000,358000,42091,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,101,39,0,1,0,0,0,0,0,0,1,0
"27",397000,406000,40315,0,1,0,1,0,0,0,0,0,0,0,0,2,0,17,0,0,0,0,122,37,0,0,0,0,0,0,0,0,2,0
"28",397000,494000,37059,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,182,19,0,0,0,0,0,0,0,0,1,0
"29",397000,510000,36467,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,203,6,0,0,0,0,0,0,0,0,0,0
"30",397000,534000,35579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"31",397000,558000,34691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,167,11,0,0,0,0,0,0,0,0,0,0
"32",405000,206000,47716,0,1,0,0,0,0,0,0,0,1,0,0,2,0,15,0,0,2,0,74,84,0,0,0,0,0,0,0,3,4,0
"33",405000,294000,44460,0,0,0,0,0,0,0,0,0,1,0,0,9,1,28,0,0,1,0,27,124,0,0,0,0,0,0,0,0,0,0
"34",405000,310000,43868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,0,0,0,0,0,0,0,0,0,0
