PLSS,cw_b1,cw_b2,PFT
Alder,12.0606,0.9094,Temperate Broadleaf Deciduous Tree
Ash,5.4733,1.2998,Temperate Broadleaf Deciduous Tree
Basswood,7.1908,1.1561,Temperate Broadleaf Deciduous Tree
Beech,11.5347,1.1368,Temperate Broadleaf Deciduous Tree
Birch,5.2177,1.3332,Temperate Broadleaf Deciduous Tree
Buckeye,12.0606,0.9094,Temperate Broadleaf Deciduous Tree
Cedar/juniper,4.5904,1.3444,Temperate Needleleaf Evergreen Tree
Cherry,8.7282,0.966,Temperate Broadleaf Deciduous Tree
Dogwood,4.123,2.4072,Temperate Broadleaf Deciduous Tree
Elm,3.5702,2.1201,Temperate Broadleaf Deciduous Tree
Fir,5.3887,0.8927,Temperate Needleleaf Evergreen Tree
Hackberry,9.3254,1.3217,Temperate Broadleaf Deciduous Tree
Hemlock,5.6624,1.5041,Temperate Needleleaf Evergreen Tree
Hickory,7.1016,1.3729,Temperate Broadleaf Deciduous Tree
Ironwood,8.1415,1.8533,Temperate Broadleaf Deciduous Tree
Maple,9.9644,1.0545,Temperate Broadleaf Deciduous Tree
No tree,0,0,Grass
Oak,5.9658,1.5212,Temperate Broadleaf Deciduous Tree
Other hardwood,7.3553,1.0502,Temperate Broadleaf Deciduous Tree
Pine,4.799,1.0655,Temperate Needleleaf Evergreen Tree
Poplar,3.4357,1.4092,Temperate Broadleaf Deciduous Tree
Spruce,2.8233,0.9797,Temperate Needleleaf Evergreen Tree
Sycamore,9.3683,1.2685,Temperate Broadleaf Deciduous Tree
Tamarack,1.9502,1.4938,Temperate Needleleaf Deciduous Tree
Tulip poplar,6.2498,0.8655,Temperate Broadleaf Deciduous Tree
Unknown,0,0,Grass
Unknown tree,12.0606,0.9094,Temperate Broadleaf Deciduous Tree
Walnut,9.3378,1.1537,Temperate Broadleaf Deciduous Tree
Willow,12.0606,0.9094,Temperate Broadleaf Deciduous Tree
Black gum,10.1715,0.9376,Temperate Broadleaf Deciduous Tree
