"","Paleon","(Intercept)","DBH","r.squared","F-stat","numdf","dendf","sigma"
"1","Ash",3.54155918248889,1.23439079499677,0.494918859867588,221.452858645151,1,226,3.83257479860689
"2","Basswood",7.3318733561064,0.821339154135477,0.512901582696755,143.20435618113,1,136,3.51951110674124
"3","Beech",7.99653969331701,1.01281458727867,0.190784928569285,7.54449333651573,1,32,5.41581676979139
"4","Birch",3.60590511108002,1.30964073891967,0.502849179789106,236.682115943681,1,234,3.65855788986599
"5","Blackgum",-0.393700787401566,2.51968503937008,0.863892013498313,6.34710743801654,1,1,2.7608055426079
"6","Buckeye",5.26477732793524,1.87044534412955,0.265075383125108,0.721367544476287,1,2,3.86963681355575
"7","Cedar",3.40497521292031,0.812652429570153,0.399745718772646,143.181535265995,1,215,2.94460181465651
"8","Cherry",7.6306878670284,0.786943232940691,0.0593770305658083,1.1993791534019,1,19,3.78406628972999
"9","Dogwood",-36.8947368421049,9.73684210526308,0.29529767040552,0.419038873584323,1,1,5.35330689731517
"10","Elm",5.05325547118938,1.43223269232113,0.371149230979306,40.7239653653495,1,69,4.50696000945471
"11","Fir",4.81690561263958,0.814115081586527,0.179920408101416,43.8787673486372,1,200,2.76777870074946
"12","Hackberry",9.24101651046433,0.946833502312125,0.384174934334464,19.3389708025242,1,31,4.12820065809559
"13","Hemlock",9.91017163973979,0.710609901352961,0.741440173978925,22.9406148786158,1,8,2.40122554548089
"14","Hickory",2.01984097823371,1.64547846151585,0.614502229991043,41.445266932143,1,26,4.36467270493583
"15","Ironwood",11.3533723246721,0.636432399032675,0.115108905595556,2.99189905451543,1,23,3.18845487171008
"16","Locust",7.98360494474866,0.483162278256878,0.35070917094163,1.62042564862765,1,3,4.19215200581355
"17","Maple",7.12145946061146,1.04041214850885,0.349244006415623,368.15855829694,1,686,4.9582657293078
"18","Oak",4.23322604287081,1.38519847649295,0.661465176534349,762.023286725689,1,390,5.06206280165907
"19","Other hardwood",12.9662466660535,0.41019037983997,0.042744137712296,0.714444518273618,1,16,3.57816952618207
"20","Pine",2.99712417328948,0.933357509027098,0.50998272042663,372.586481178154,1,358,3.25574425924577
"21","Poplar",4.56742719156663,1.07946646842849,0.497952678045436,538.571350457562,1,543,3.72210330031889
"22","Sassafras",1.75986827346715,1.34790879642508,0.540512866671098,23.5267900868161,1,20,3.95570796036915
"23","Spruce",1.88742538230264,1.02903639300019,0.224878439712854,57.7339243231472,1,199,3.02990807645324
"24","Sycamore",4.56572219855134,1.59245845760545,0.878496455394891,7.23021256910681,1,1,4.68525777220312
"25","Tamarack",4.07764228936505,1.10000318380082,0.317149735746746,40.8715910452701,1,88,2.89288706453419
"26","Walnut",1.29728682170543,1.32170542635659,0.785536471263785,7.32559494747452,1,2,3.50782624444831
"27","Willow",10.3067519816636,0.850921592971063,0.902584689687163,9.26532684429813,1,1,2.33564924111453
